R_hour_1,R_hour_2,R_hour_3,R_hour_4,R_hour_5,R_hour_6,R_hour_7,R_hour_8,R_hour_9,R_hour_10,R_hour_11,R_hour_12,R_hour_13,R_hour_14,R_hour_15,R_hour_16,R_hour_17,R_hour_18,R_hour_19,R_hour_20,G_hour_1,G_hour_2,G_hour_3,G_hour_4,G_hour_5,G_hour_6,G_hour_7,G_hour_8,G_hour_9,G_hour_10,G_hour_11,G_hour_12,G_hour_13,G_hour_14,G_hour_15,G_hour_16,G_hour_17,G_hour_18,G_hour_19,G_hour_20,B_hour_1,B_hour_2,B_hour_3,B_hour_4,B_hour_5,B_hour_6,B_hour_7,B_hour_8,B_hour_9,B_hour_10,B_hour_11,B_hour_12,B_hour_13,B_hour_14,B_hour_15,B_hour_16,B_hour_17,B_hour_18,B_hour_19,B_hour_20,CFU/100ml
200,199.8516084166275,199.1278929283923,198.52364740563513,198.15117677699058,199.22548870471496,198.64832594360118,196.94056862760186,197.16114873854417,196.41474722533957,197.891481248062,195.42569888345773,194.01100099321297,197.00569254671362,197.16635123733235,194.94373974034434,192.97513882224138,195.75716025084918,197.05378623748572,195.81839147972255,50,50.22859971615621,50.902573825716026,50.62487516631601,50.86965008155871,51.515735901490615,51.71170456950706,53.259874147320225,51.4729420506993,52.90712434148492,54.0944640401553,52.32062419309322,55.783000715762235,56.401343847933624,55.6727228902506,54.395583779733485,54.477850532950846,52.32125765182588,55.47627355916368,57.45945256163634,50,49.83498220806701,49.56352043774129,49.13507651221556,49.5496136181273,48.993474741295266,48.968366619618934,47.982298461189714,47.62549463141107,47.343000131304855,48.028906178196706,47.01079274557176,46.53916203508124,46.8158530259437,46.805238297606614,47.18880730474142,45.93192904021586,47.21973476444817,47.5464261431432,45.47648613101001,0
200,199.68597177116723,199.0444644242164,198.91616976280042,198.97536060071693,199.12087403992308,198.0499532656571,197.38691845933724,197.33318737155466,196.2630885606749,198.9628647308488,198.8348079923793,195.449205936063,196.55043942918587,194.85242973386008,193.1851907738994,195.16139204987044,197.9353484206301,192.18208558321672,194.383370338441,50,50.20874547087135,50.45402295674381,50.92472068248061,50.62291120772956,52.41751723304744,52.218670466332455,52.617199214758266,53.38014229359361,53.042287310623024,51.27690640493423,52.00970380834784,54.90536843788956,52.54015867173123,55.49647520429983,53.31932405366152,56.92046642101133,53.17909672879782,58.86366170698183,56.781026623393224,50,49.88738352861154,49.47544777821749,49.12761840781958,48.82858889076923,49.200041271959286,48.67320330792389,48.258759249145506,48.82494496074494,48.33681958714791,48.43943913642789,48.16666887487033,48.439865607663485,46.17113605025456,47.417852976470314,48.21343003877871,45.39328738777465,45.07325858326857,48.007951262126014,47.48114057644368,0
200,199.83772462991394,199.316445636019,199.076871624695,198.98073557003215,198.37974948432543,198.9750076108408,198.25492881097995,196.0794964414474,198.9390829373162,197.9512152663997,195.76096608517614,196.45832634575387,196.1743010819377,197.00566927612752,196.64528892913285,192.71630814016277,197.21343391149037,192.16990679365352,191.11386653399796,50,50.151739506456146,50.951194823857605,50.54873089271892,50.97802463831551,50.57209306953489,50.835597634052675,53.29386677470167,52.345739224694874,51.85949703911737,54.356227939101906,54.06252501565625,54.34369947962458,51.661705584108326,51.46199882815339,51.5333887700159,57.79870902525111,53.477580290112755,53.98698610295933,58.68314942084024,50,49.76431683583516,49.64917511317654,49.23177185103101,49.07024414105928,49.38206030631503,49.061889107976725,48.413080790047964,48.900914645966786,48.77237253618138,48.88434541454513,48.282660599219284,48.24153485345044,46.805284227621286,47.55997816009594,45.724234991328856,48.26777978056061,46.18152294439523,45.0801582822646,47.542670792894874,0
200,199.82482661714835,199.43577370762563,199.03909146393107,198.12804245948195,198.45440544955335,197.50699924955637,198.4301360468868,198.47866035651543,197.66445199809175,196.3509951939133,195.624183669846,198.6128945093646,195.07653796293297,196.14523873402032,197.3556511635902,193.0700726238868,197.78530601105393,194.68708808817743,193.96537852852268,50,50.28090997709799,50.80216505864981,50.44368559569419,51.78040782010426,52.22079272855713,51.53315101842604,52.986299109791105,52.705659428332794,54.4300712814515,51.06935339300077,52.21070606612468,53.46719206729128,53.4259313984807,51.91239315672622,56.07273806055771,55.12731645680842,51.92499004314269,52.98431519405239,54.493256796076246,50,49.82348197661397,49.6527781834766,49.318394311708495,49.021146151063526,48.50325547997574,48.90658326007996,49.27187408213409,48.57919816402224,47.53505570496638,48.89068474066404,47.76140759687913,47.79214437401479,47.95832595783244,46.77360858932433,47.085161993499774,47.071655483076626,45.70387241601072,45.55154576260662,44.57171921978675,0
200,199.5321201733613,199.45353582810984,199.23350015839227,198.5840694635769,198.58321076834542,198.73818618983006,196.98963541803153,198.2253073600787,195.95865422334,195.09294254334125,195.13941584586686,198.03436418212456,194.7879970988182,198.53425416962727,197.1618098381699,193.49047043972087,193.95560551263426,195.59647211898886,190.759301550674,50,50.40185252413492,50.79977221661938,50.72053289310739,50.7835998559415,52.0278542273184,51.8415568960627,51.3459603479829,53.44469322310785,53.29344330378435,54.381080774635436,53.87531227014882,54.52103684799198,54.259917649835224,56.733630562885466,52.9569050379214,53.4721206934094,56.13587708039893,58.20451724622595,53.25272532237897,50,49.71265725847813,49.69229708010492,49.565405859198826,49.36127709522437,48.846621713563295,48.430129427570584,48.45786695834616,47.87520076904945,48.41173635069658,47.65598374581368,47.97019053334741,48.568186882823376,47.214594381017505,47.29785607101285,46.0583444323229,48.28010397129898,45.9832842785132,46.74733573521963,46.70522305655158,0
200,199.87493995831974,199.29469409754782,199.01049814624426,199.51269501505143,198.37834929959288,198.47594339716096,197.22577819756287,197.03941683937697,198.6953127873001,197.59714244493688,196.2095486478852,195.26296401380668,194.13094958622816,198.1332729044118,194.04709609553035,194.61360211170395,196.27358150133813,192.76036655623645,193.3477820989866,50,50.452162303269226,50.91144264148681,50.45439029537369,50.46690931675233,51.98586587942366,51.79215975837713,53.434678147803645,53.6467066965602,51.38866755684603,54.966943681760746,51.487793672432865,51.76689454855264,55.61860795813944,54.676970116239275,55.55045557964707,55.40295035699938,57.56672802191182,58.09684664142023,55.33140173294147,50,49.71118558974222,49.76036919597521,49.65802724485243,49.42161042842776,48.72977889136482,48.6270737849713,48.15257364735979,49.025777342273955,47.99959340953713,47.89196690499358,46.86485781518195,47.54632664365159,46.42459846527117,45.99772884540019,47.22830576199153,45.21677542057434,46.036650306126845,45.783179106444656,45.4967552065251,0
200,199.87204628716697,199.39174332907382,199.01293035828598,199.33425017930782,197.62246390299507,198.22887881546217,198.1606777761905,199.00950681326535,196.68064715542266,195.02117402188168,196.89793457877136,197.25652179880478,193.7841010899392,196.16599086648597,198.09426435261446,196.65543572812965,192.97698812445552,192.19704133474718,191.55240026028457,50,50.38000399646499,50.353280459388074,51.32038464889162,50.48493399749472,50.54454199125476,50.7077095776339,51.13595615716628,50.8243900636963,51.69165209820039,52.43750566802225,54.2677468466566,53.61581924901788,55.7784565260277,51.531148072512146,55.74836000531697,54.3656483682753,52.972108062790944,58.46328692187258,57.78505220651844,50,49.765700251712396,49.63729435917929,49.147712166246414,48.923159932905534,48.557009655478026,48.657960654430795,48.04181307734025,48.020988535109424,48.56070923747251,48.00900766239705,48.834385790753856,48.56597827444894,47.7084917341546,47.77566329248353,47.028367296413705,47.462098523948235,45.17580283648076,45.72299712018204,44.8152256432841,0
200,199.83399847046232,199.17973442680704,199.3076792072325,199.36705517729848,198.3229544331513,197.27976134773724,198.98998481362787,198.76277812029159,196.76870055415083,197.38440981829513,197.24253475432954,198.51614920258092,194.31268073200695,197.41346959672708,198.05771690887156,198.21518421729056,194.20385814741655,191.97784373307803,194.30778972773447,50,50.231187229595484,50.66757087639749,50.43023618013351,50.691479269328546,52.430573354607695,51.67685959336579,51.14897032687013,51.294622657855,51.441697653387706,53.88882433064864,51.110876018213425,55.66843585554649,52.54179230914152,56.5537962760715,54.93600119515601,52.27399258889927,55.841289208773055,52.01464311944318,58.628261080419584,50,49.81244081282408,49.70190112049522,49.38816972770872,49.45819478917588,48.550364041080094,48.49213665172086,47.990903140820166,48.27587455933582,48.22042879153736,47.085922146362584,47.10250009134314,47.11404827960224,47.29665886074822,48.11480441471858,48.41916085971048,46.32269420456293,44.9554088516005,48.131293235671166,45.16994083350171,0
200,199.6928799887418,199.03364594087972,198.5730353434993,198.93092239752264,198.36748190656,198.8308035493676,198.08486834097246,196.28625587021372,197.33265596097814,198.96666372349793,194.75938793125852,196.40985469439246,197.72955921315253,194.64203474207835,192.8988254193727,192.18619402181145,193.63363622779423,192.19115782626298,190.77840320746267,50,50.31833158038167,50.44284187493054,50.86120058309039,50.93119015657846,52.07423641207779,50.700675273811434,51.10087206207998,51.60216885346395,52.88540924782781,54.75587853039815,52.82338230267759,55.1274722811263,53.850251065999736,55.74569227105633,56.08246679064712,55.63388809077897,55.38792812483622,54.440883955802065,53.06351023308242,50,49.77721530394803,49.50221237322928,49.24474421233691,48.9268172677374,48.82400707282755,49.19193844121111,48.114285155386426,48.73322824112845,48.40463816341396,47.0564569463228,46.81279359319602,47.63158884788059,47.57784861669243,48.07379278555065,45.692718503949244,46.87253515216183,46.94626069802301,45.71844124405946,44.84808644477102,0
200,199.86636456221981,199.0327321052403,198.91175562035292,198.91796026607764,199.38773635425957,198.93013180343627,198.66108628809323,197.60884992375205,196.7828194355768,195.3948240358539,198.4737684051909,197.21234445628207,196.956159219821,195.08876499095595,195.8409004664082,195.46965232120758,194.12314358830017,195.25093230229223,195.39637337372415,50,50.15441643060299,50.89398991657978,50.44781922819471,51.17817646561487,51.674232037789544,52.71439687813221,53.39685455147228,53.100320263739256,51.8130777433751,52.36576145092643,52.19280148059225,54.23248252424682,53.44685472187913,56.19695486072889,57.38787978954851,53.867610339199345,56.67264656367031,55.73692080902039,52.02789408887867,50,49.87017699368188,49.50764765224034,49.24498529935848,49.131593047005815,49.31843928178706,49.14693923345677,48.37127997796382,48.32058702255521,47.80784323193185,48.96455822242914,47.996782484879034,47.96669724773205,47.75349172274336,47.96704843232293,48.198519480622586,48.11612472504512,47.88070825100698,44.868900465094775,44.541768943801216,0
